54.01,12.35,170,27.00,12.35,-30.78,0.19,36.87,2.82,170,27.00,-12.35,-30.78,36.87,3.12,172,-27.00,12.35,-30.78,36.87,2.73,179,-27.00,-12.35,-30.78,0.29,36.87,2.21,176,31.90,17.24,13.84,6.47,176,36.80,22.14,-0.10,20.86,4.60,175,-24.44,0.63,-0.49,29.57,1.23,174,Horse
25.99,6.02,171,13.00,6.02,-12.00,0.90,11.95,0.99,175,13.00,-6.02,-12.00,11.95,1.01,174,-13.00,6.02,-12.00,11.95,0.83,175,-13.00,-6.02,-12.00,0.51,11.95,0.99,170,15.73,6.02,5.47,2.60,175,18.47,6.02,-0.25,11.85,2.95,174,-18.94,-0.06,-0.37,7.05,0.31,176,Dog
24.76,7.27,177,12.38,7.27,-14.71,0.95,14.89,1.10,177,12.38,-7.27,-14.71,14.89,0.93,176,-12.38,7.27,-14.71,14.89,0.99,172,-12.38,-7.27,-14.71,0.30,14.89,0.92,174,15.05,7.27,5.35,2.56,177,17.73,7.27,0.13,11.43,3.09,177,-18.33,-0.04,-0.79,6.43,0.29,172,Dog
66.67,16.22,174,33.34,16.22,-46.47,0.12,60.50,2.44,174,33.34,-16.22,-46.47,60.50,3.02,178,-33.34,16.22,-46.47,60.50,3.12,175,-33.34,-16.22,-46.47,0.27,60.50,3.05,177,50.64,33.52,48.94,6.60,175,67.94,50.82,-0.14,19.93,4.29,174,-46.74,-0.10,-0.55,19.93,0.78,174,Giraffe
23.30,7.08,174,11.65,7.08,-13.56,0.30,12.96,0.99,175,11.65,-7.08,-13.56,12.96,1.00,174,-11.65,7.08,-13.56,12.96,0.90,171,-11.65,-7.08,-13.56,0.53,12.96,0.89,177,14.45,7.08,5.60,2.31,175,17.25,7.08,0.60,12.34,2.91,174,-16.40,-0.05,0.09,6.90,0.31,173,Dog
16.25,3.91,175,8.12,3.91,-6.71,0.72,5.60,0.62,176,8.12,-3.91,-6.71,5.60,0.78,172,-8.12,3.91,-6.71,5.60,0.54,174,-8.12,-3.91,-6.71,0.54,5.60,0.79,177,9.52,3.91,2.79,1.61,177,10.91,3.91,0.07,4.03,1.97,174,-2.56,-0.53,-0.08,13.69,0.51,175,Cat
21.03,3.92,171,10.52,3.92,-7.35,0.48,6.87,0.60,174,10.52,-3.92,-7.35,6.87,0.58,174,-10.52,3.92,-7.35,6.87,0.59,174,-10.52,-3.92,-7.35,0.75,6.87,0.60,172,11.77,3.92,2.51,1.91,173,13.03,3.92,-0.28,4.00,1.83,176,-7.60,0.16,-0.22,13.43,0.56,173,Cat
23.37,7.50,175,11.69,7.50,-13.52,0.54,12.05,1.12,178,11.69,-7.50,-13.52,12.05,0.97,178,-11.69,7.50,-13.52,12.05,1.11,177,-11.69,-7.50,-13.52,0.63,12.05,0.90,179,14.39,7.50,5.40,2.60,175,17.09,7.50,-0.13,11.71,2.52,172,-16.67,0.09,0.48,6.70,0.31,177,Dog
17.92,3.06,178,8.96,3.06,-6.11,0.41,6.11,0.78,175,8.96,-3.06,-6.11,6.11,0.59,175,-8.96,3.06,-6.11,6.11,0.57,174,-8.96,-3.06,-6.11,0.39,6.11,0.51,172,10.64,3.06,3.35,1.86,178,12.31,3.06,-0.99,4.95,2.03,176,-4.70,0.14,-0.20,13.22,0.63,174,Cat
65.40,15.74,174,32.70,15.74,-47.00,0.33,62.52,2.75,175,32.70,-15.74,-47.00,62.52,2.34,177,-32.70,15.74,-47.00,62.52,3.04,175,-32.70,-15.74,-47.00,0.33,62.52,2.83,172,50.04,33.08,49.03,7.30,174,67.37,50.41,0.76,20.28,4.39,171,-45.12,-0.50,-0.57,20.28,0.78,175,Giraffe
